Geography,Cases
"Perry County, Illinois",74
"Piatt County, Illinois",27
"Pike County, Illinois",32
"Pope County, Illinois",8
"Pulaski County, Illinois",29
"Putnam County, Illinois",5
"Randolph County, Illinois",101
"Richland County, Illinois",52
"Rock Island County, Illinois",805
"St. Clair County, Illinois","2,004"
"Saline County, Illinois",104
"Sangamon County, Illinois","1,343"
"Schuyler County, Illinois",21
"Scott County, Illinois",14
"Shelby County, Illinois",42
"Stark County, Illinois",5
"Stephenson County, Illinois",236
"Tazewell County, Illinois",413
"Union County, Illinois",38
"Vermilion County, Illinois",555
"Wabash County, Illinois",19
"Warren County, Illinois",37
"Washington County, Illinois",31
"Wayne County, Illinois",58
"White County, Illinois",13
"Whiteside County, Illinois",150
"Will County, Illinois","2,455"
"Williamson County, Illinois",300
"Winnebago County, Illinois","1,886"
"Woodford County, Illinois",67
"Adams County, Indiana",66
"Allen County, Indiana","2,285"
"Bartholomew County, Indiana",269
"Benton County, Indiana",32
"Blackford County, Indiana",34
"Boone County, Indiana",137
"Brown County, Indiana",22
"Carroll County, Indiana",60
"Cass County, Indiana",156
"Clark County, Indiana",506
"Clay County, Indiana",92
"Clinton County, Indiana",121
"Crawford County, Indiana",14
"Daviess County, Indiana",81
"Dearborn County, Indiana",91
"Decatur County, Indiana",89
"Dekalb County, Indiana",110
"Delaware County, Indiana",710
"Dubois County, Indiana",97
"Elkhart County, Indiana","1,006"
"Fayette County, Indiana",68
"Floyd County, Indiana",263
"Fountain County, Indiana",57
"Franklin County, Indiana",23
"Fulton County, Indiana",38
"Gibson County, Indiana",101
"Grant County, Indiana",312
"Greene County, Indiana",78
"Hamilton County, Indiana",866
"Hancock County, Indiana",192
"Harrison County, Indiana",74
"Hendricks County, Indiana",478
"Henry County, Indiana",169
"Howard County, Indiana",431
"Huntington County, Indiana",81
"Jackson County, Indiana",182
"Jasper County, Indiana",73
"Jay County, Indiana",56
"Jefferson County, Indiana",98
"Jennings County, Indiana",70
"Johnson County, Indiana",534
"Knox County, Indiana",145
"Kosciusko County, Indiana",209
"Lagrange County, Indiana",47
"Lake County, Indiana","3,101"
"Laporte County, Indiana",348
"Lawrence County, Indiana",102
"Madison County, Indiana",756
"Marion County, Indiana","10,394"
"Marshall County, Indiana",101
"Martin County, Indiana",11
"Miami County, Indiana",96
"Monroe County, Indiana",728
"Montgomery County, Indiana",156
"Morgan County, Indiana",192
"Newton County, Indiana",22
"Noble County, Indiana",142
"Ohio County, Indiana",9
"Orange County, Indiana",50
"Owen County, Indiana",35
"Parke County, Indiana",66
