,Geography,Cases
2862,"Henrico County, Virginia",8
2872,"Loudoun County, Virginia",16
2892,"Prince William County, Virginia",23
2905,"Stafford County, Virginia",5
2915,"Alexandria City, Virginia",10
2918,"Charlottesville City, Virginia",6
2949,"Virginia Beach City, Virginia",5
2958,"Clark County, Washington",13
2966,"Grays Harbor County, Washington",21
2969,"King County, Washington",111
2970,"Kitsap County, Washington",6
2975,"Mason County, Washington",6
2979,"Pierce County, Washington",27
2983,"Snohomish County, Washington",30
2984,"Spokane County, Washington",7
2991,"Yakima County, Washington",5
3059,"Dane County, Wisconsin",8
3087,"Milwaukee County, Wisconsin",19
